,Gare,Latitude,Longitude
150,Avenay,49.0647826,4.043689
151,Avenue du Président Kennedy Maison de Radio France,48.853322,2.279969
152,Avenue Foch,48.870971,2.2756167
153,Avenue Henri Martin,48.8644077,2.272238
154,Avesnelles,50.1185513,3.9485876
155,Avesnes-sur-Helpe,50.12674,3.93295
156,Avignon Centre,43.9419,4.805281
157,Avignon TGV,43.921586,4.786079
158,Avignon TGV,43.921586,4.786079
159,Avignonet-Lauragais,43.3638769,1.7872687
160,Avion,50.40723,2.83365
161,Avord,47.0349061,2.6523757
162,Avoudrey,47.1298359,6.434573
163,Avranches,48.6902445,-1.3700755
164,Avrechy,49.4446439,2.4179608
165,Ax-les-Thermes,42.7247967,1.8332516
166,Ay,49.0487318,4.0015644
167,Aytré Plage,46.1273815,-1.1280462
168,Azay-le-Rideau,47.2663383,0.4475388
169,Azay-sur-Cher,47.3652695,0.8599885
170,Azerailles,48.4913355,6.695778
171,Babinière,47.2591762,-1.5452842
172,Baccarat,48.452405,6.74383
173,Bagnac-sur-Célé,44.6652105,2.1602503
174,Bagneaux-sur-Loing,48.2304802,2.7033327
175,Bagnols - Chadenet,44.5286125,3.628178
176,Baillargues,43.6533234,4.0071585
177,Bailleau-le-Pin,48.3668028,1.3248851
178,Bailleul,50.72916,2.73445
179,Bailleul-Sir-Berthoult,50.3351257,2.8409809
180,Bains-les-Bains,47.9811282,6.2952683
181,Bainville-sur-Madon,48.5863794,6.099327
182,Baisieux,50.61845,3.2347796
183,Balagny Saint-Épin,49.2942448,2.3441977
184,Balbigny,45.817858,4.187443
185,Ballan-Miré,47.3369919,0.6188975
186,Ballancourt-sur-Essonne,48.532114,2.371274
187,Banassac - La Canourgue,44.4477632,3.1958518
188,Bandol,43.140344,5.750118
189,Bannalec,47.9267473,-3.7065268
190,Bantzenheim,47.8109675,7.5038675
191,Banyuls-sur-Mer,42.4829582,3.1250496
192,Bar-le-Duc,48.773308,5.166822
193,Bar-sur-Aube,48.2385399,4.7066708
194,Baraqueville Carcenac Peyralès,44.2704368,2.4275453
195,Barentin,49.549123,0.953517
196,Barenton-Bugny,49.6307907,3.6559914
197,Barjac,44.4992638,3.4109786
198,Baroncourt,49.2845332,5.6997387
199,Barr,48.4032933,7.4565189
200,Barsac,44.6054306,-0.3215775
201,Barsanges,45.5661652,2.0188676
202,Bartenheim,47.6349313,7.4872561
203,Bas - Monistrol-sur-Loire,45.297596,4.139602
204,Bas Évette,47.6810089,6.8068494
205,Basse-Ham,49.3805708,6.2348709
206,Bassens,44.9012933,-0.5223144
207,Batz-sur-Mer,47.2809541,-2.4789866
208,Baule,47.8117535,1.668127
209,Baume-les-Dames,47.353937,6.359603
210,Bauvin - Provin,50.51168,2.9054
211,Bayard,48.5520296,5.0754439
212,Bayeux,49.269836,-0.698056
213,Bayon,48.468046,6.322569
214,Bayonne,43.496801,-1.470306
215,Bazancourt,49.361202,4.173887
216,Baziège,43.4535696,1.6205019
217,Bazoches,49.30518,3.6163588
218,Béard,46.8652207,3.3179944
219,Beau Marais,50.945371,1.8983301
220,Beaucaire,43.80209,4.6470865
221,Beaugency,47.778365,1.625938
222,Beaulieu-sur-Mer,43.706651,7.331545
223,Beaumont-le-Roger,49.0741722,0.7727865
224,Beaune,47.023053,4.848379
225,Beaurainville,50.422891,1.895345
226,Beautiran,44.701041,-0.45017
227,Beauvais,49.42648,2.08869
228,Beauvoir-sur-Niort,46.1768857,-0.4687544
229,Beauvoisin,43.7245026,4.3212178
230,Bécon les Bruyères,48.90592,2.26838
