,Date,Température moyenne
289,2019-10-17,14
290,2019-10-18,15
291,2019-10-19,14
292,2019-10-20,12
293,2019-10-21,13
294,2019-10-22,12
295,2019-10-23,14
296,2019-10-24,15
297,2019-10-25,14
298,2019-10-26,16
299,2019-10-27,11
300,2019-10-28,9
301,2019-10-29,10
302,2019-10-30,9
303,2019-10-31,10
304,2019-11-01,13
305,2019-11-02,14
306,2019-11-03,12
307,2019-11-04,12
308,2019-11-05,10
309,2019-11-06,10
310,2019-11-07,9
311,2019-11-08,8
312,2019-11-09,7
313,2019-11-10,7
314,2019-11-11,7
315,2019-11-12,7
316,2019-11-13,7
317,2019-11-14,6
318,2019-11-15,4
319,2019-11-16,6
320,2019-11-17,6
321,2019-11-18,5
322,2019-11-19,5
323,2019-11-20,4
324,2019-11-21,6
325,2019-11-22,8
326,2019-11-23,10
327,2019-11-24,9
328,2019-11-25,9
329,2019-11-26,11
330,2019-11-27,11
331,2019-11-28,11
332,2019-11-29,8
333,2019-11-30,6
334,2019-12-01,3
335,2019-12-02,3
336,2019-12-03,4
337,2019-12-04,3
338,2019-12-05,2
339,2019-12-06,5
340,2019-12-07,8
341,2019-12-08,10
342,2019-12-09,8
343,2019-12-10,5
344,2019-12-11,7
345,2019-12-12,6
346,2019-12-13,8
347,2019-12-14,9
348,2019-12-15,9
349,2019-12-16,9
350,2019-12-17,11
351,2019-12-18,9
352,2019-12-19,12
353,2019-12-20,11
354,2019-12-21,9
355,2019-12-22,9
356,2019-12-23,9
357,2019-12-24,11
358,2019-12-25,9
359,2019-12-26,8
360,2019-12-27,9
361,2019-12-28,6
362,2019-12-29,4
363,2019-12-30,4
364,2019-12-31,3
365,2020-01-01,4
366,2020-01-02,7
367,2020-01-03,9
368,2020-01-04,7
369,2020-01-05,7
370,2020-01-06,5
371,2020-01-07,8
372,2020-01-08,11
373,2020-01-09,12
374,2020-01-10,8
375,2020-01-11,5
376,2020-01-12,6
377,2020-01-13,8
378,2020-01-14,10
379,2020-01-15,10
380,2020-01-16,8
381,2020-01-17,9
382,2020-01-18,5
383,2020-01-19,4
384,2020-01-20,4
385,2020-01-21,3
386,2020-01-22,1
387,2020-01-23,3
388,2020-01-24,3
389,2020-01-25,4
