,Date,Température moyenne
1243,2022-05-28,14
1244,2022-05-29,11
1245,2022-05-30,13
1246,2022-05-31,15
1247,2022-06-01,15
1248,2022-06-02,17
1249,2022-06-03,19
1250,2022-06-04,22
1251,2022-06-05,19
1252,2022-06-06,17
1253,2022-06-07,18
1254,2022-06-08,16
1255,2022-06-09,16
1256,2022-06-10,19
1257,2022-06-11,20
1258,2022-06-12,17
1259,2022-06-13,17
1260,2022-06-14,19
1261,2022-06-15,22
1262,2022-06-16,22
1263,2022-06-17,26
1264,2022-06-18,29
1265,2022-06-19,23
1266,2022-06-20,18
1267,2022-06-21,20
1268,2022-06-22,22
1269,2022-06-23,23
1270,2022-06-24,20
1271,2022-06-25,17
1272,2022-06-26,17
1273,2022-06-27,18
1274,2022-06-28,20
1275,2022-06-29,20
1276,2022-06-30,15
1277,2022-07-01,17
1278,2022-07-02,20
1279,2022-07-03,19
1280,2022-07-04,19
1281,2022-07-05,19
1282,2022-07-06,20
1283,2022-07-07,19
1284,2022-07-08,19
1285,2022-07-09,23
1286,2022-07-10,20
1287,2022-07-11,23
1288,2022-07-12,26
1289,2022-07-13,28
1290,2022-07-14,25
1291,2022-07-15,21
1292,2022-07-16,23
1293,2022-07-17,25
1294,2022-07-18,30
1295,2022-07-19,32
1296,2022-07-20,23
1297,2022-07-21,23
1298,2022-07-22,22
1299,2022-07-23,22
1300,2022-07-24,26
1301,2022-07-25,24
1302,2022-07-26,20
1303,2022-07-27,20
1304,2022-07-28,22
1305,2022-07-29,23
1306,2022-07-30,24
1307,2022-07-31,23
1308,2022-08-01,23
1309,2022-08-02,25
1310,2022-08-03,28
1311,2022-08-04,25
1312,2022-08-05,21
1313,2022-08-06,20
1314,2022-08-07,21
1315,2022-08-08,23
1316,2022-08-09,24
1317,2022-08-10,27
1318,2022-08-11,28
1319,2022-08-12,28
1320,2022-08-13,28
1321,2022-08-14,26
1322,2022-08-15,23
1323,2022-08-16,22
1324,2022-08-17,22
1325,2022-08-18,22
1326,2022-08-19,21
1327,2022-08-20,20
1328,2022-08-21,21
1329,2022-08-22,22
1330,2022-08-23,24
1331,2022-08-24,27
1332,2022-08-25,25
1333,2022-08-26,22
1334,2022-08-27,21
1335,2022-08-28,21
1336,2022-08-29,22
1337,2022-08-30,22
1338,2022-08-31,22
1339,2022-09-01,23
1340,2022-09-02,21
1341,2022-09-03,21
1342,2022-09-04,22
1343,2022-09-05,22
1344,2022-09-06,21
1345,2022-09-07,20
1346,2022-09-08,19
1347,2022-09-09,17
1348,2022-09-10,18
1349,2022-09-11,18
1350,2022-09-12,22
1351,2022-09-13,23
1352,2022-09-14,21
1353,2022-09-15,18
1354,2022-09-16,15
1355,2022-09-17,13
1356,2022-09-18,13
1357,2022-09-19,14
1358,2022-09-20,14
1359,2022-09-21,15
1360,2022-09-22,15
1361,2022-09-23,16
1362,2022-09-24,14
1363,2022-09-25,14
1364,2022-09-26,13
1365,2022-09-27,12
1366,2022-09-28,13
1367,2022-09-29,12
1368,2022-09-30,13
1369,2022-10-01,16
1370,2022-10-02,17
1371,2022-10-03,15
1372,2022-10-04,16
1373,2022-10-05,18
1374,2022-10-06,15
1375,2022-10-07,14
1376,2022-10-08,14
1377,2022-10-09,14
1378,2022-10-10,16
1379,2022-10-11,14
1380,2022-10-12,13
1381,2022-10-13,14
1382,2022-10-14,15
1383,2022-10-15,17
1384,2022-10-16,16
1385,2022-10-17,18
1386,2022-10-18,17
1387,2022-10-19,19
1388,2022-10-20,19
1389,2022-10-21,18
1390,2022-10-22,18
1391,2022-10-23,19
1392,2022-10-24,18
1393,2022-10-25,17
1394,2022-10-26,18
1395,2022-10-27,19
1396,2022-10-28,20
1397,2022-10-29,20
1398,2022-10-30,17
1399,2022-10-31,15
1400,2022-11-01,15
1401,2022-11-02,13
1402,2022-11-03,13
1403,2022-11-04,11
1404,2022-11-05,11
1405,2022-11-06,11
1406,2022-11-07,13
1407,2022-11-08,14
1408,2022-11-09,13
1409,2022-11-10,12
1410,2022-11-11,12
1411,2022-11-12,13
1412,2022-11-13,11
1413,2022-11-14,11
1414,2022-11-15,12
1415,2022-11-16,12
1416,2022-11-17,13
1417,2022-11-18,10
1418,2022-11-19,8
1419,2022-11-20,7
1420,2022-11-21,9
1421,2022-11-22,8
1422,2022-11-23,9
1423,2022-11-24,10
1424,2022-11-25,9
1425,2022-11-26,7
1426,2022-11-27,10
1427,2022-11-28,9
1428,2022-11-29,7
1429,2022-11-30,6
1430,2022-12-01,6
1431,2022-12-02,5
1432,2022-12-03,2
1433,2022-12-04,3
1434,2022-12-05,3
1435,2022-12-06,4
1436,2022-12-07,3
1437,2022-12-08,3
1438,2022-12-09,1
1439,2022-12-10,1
1440,2022-12-11,0
1441,2022-12-12,-0
1442,2022-12-13,-0
1443,2022-12-14,1
1444,2022-12-15,-0
1445,2022-12-16,-1
1446,2022-12-17,-2
1447,2022-12-18,-0
1448,2022-12-19,9
1449,2022-12-20,11
1450,2022-12-21,9
1451,2022-12-22,12
1452,2022-12-23,14
1453,2022-12-24,11
1454,2022-12-25,11
1455,2022-12-26,8
1456,2022-12-27,5
1457,2022-12-28,9
1458,2022-12-29,10
1459,2022-12-30,10
1460,2022-12-31,15
